Date,Time,Venue,Teams,Results,Outcome,Players,Goals,Assists,Yellow Cards,Red Cards
6/18/18,,Falmouth Community Fields ,,,,,,,,
6/25/18,,Falmouth Community Fields ,,,,,,,,
7/2/18,,Falmouth Community Fields ,,,,,,,,
7/9/18,,Falmouth Community Fields ,,,,,,,,
7/16/18,,Falmouth Community Fields ,,,,,,,,
